// SPDX-License-Identifier: GPL-3.0-or-later
// Excerpted from SimulationCraft (https://github.com/simulationcraft/simc),
// (c) SimulationCraft contributors. Licensed under the GNU GPL v3 -- see
// ./LICENSE for the full text and ./README.md for the exact source path
// and commit this excerpt was taken from. This file is GPL-3.0 code kept
// separate from the rest of this repo (AGPL-3.0-or-later).

// SimC DBC: expected_stat per level — armor_constant is the K used in
// armor / (armor + K) physical DR formula.
// engine/dbc/generated/expected_stat.inc (WoW build 12.0.5.67602)
// Format: { level, creature_health, creature_dps, creature_armor, primary_stat, secondary_stat, ARMOR_CONSTANT, creature_spell_damage }

// Expected stat for levels 1-133, wow build 12.0.5.67602
static constexpr std::array<expected_stat_t, 133> __expected_stat_data { {
  {  83,   54580.65625f,    2340.86328f,     484.00000f,     652.58868f,     825.17169f,    1129.00000f,  105338.84375f },
  {  84,   63960.65234f,    2812.36108f,     525.00000f,     743.51691f,     923.99835f,    1226.00000f,  126556.25000f },
  {  85,   74517.49219f,    3306.71118f,     819.00000f,     847.11456f,    1022.82501f,    1912.00000f,  148802.00000f },
  {  86,   86406.10156f,    3904.46509f,     933.00000f,     965.14703f,    1121.65173f,    2178.00000f,  175700.92188f },
  {  87,   99601.95312f,    4281.89453f,    1132.00000f,    1099.62549f,    1214.55322f,    2642.00000f,  192685.25000f },
  {  88,  114897.60156f,    4675.92334f,    1132.00000f,    1252.84143f,    1318.31726f,    2642.00000f,  210416.54688f },
  {  89,  132629.23438f,    5077.82715f,    1290.00000f,    1427.40576f,    1434.29858f,    3010.00000f,  228502.21875f },
  {  90,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  {  91,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  {  92,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  {  93,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  {  94,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  {  95,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  {  96,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  {  97,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  {  98,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  {  99,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 100,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 101,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 102,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 103,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 104,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 105,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 106,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 107,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 108,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 109,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 110,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 111,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 112,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
  { 113,  141482.01562f,    5513.91943f,    1470.00000f,    1626.29285f,    1564.02234f,    3430.00000f,  248126.37500f },
